van_number,type,status,date,last_updated,notes,url,driver,damage,damage_description
slack,Unknown,Active,2025-03-20T19:12:37.000Z,2025-04-16,,"https://drive.google.com/file/d/1ZvES6rsqVd7ol7n7LUE3VrTD0lnW2Hke ,,,,,,https://drive.google.com/file/d/12DOM_4rRxIQ35gMvUnRSIcnpelNiKiI0/view?usp=drivesdk,,,",,,0
slack_2,Unknown,Active,2025-03-20T19:12:37.000Z,1742497958,,https://drive.google.com/file/d/1ZvES6rsqVd7ol7n7LUE3VrTD0lnW2Hke,,,
van,blue,active,2025-03-20T03:05:18.000Z,2025-04-16,new,https://drive.google.com/file/d/1xYbjCfoWibs3yiuD-N1H4jxlo6VsXhbS/view?usp=drivesdk,,"What is it and where is it? | ""The damage on the van includes: | There is no damage to the parrot. The parrot is in good condition. | The damage is dirt and debris all over the van and writing in the dirt on the rear door. | ""The damage includes **dirt or debris** | ""The damage is dirt and debris.",0 | 1 |  **scratches**
van_01,Unknown,Active,2025-03-22T20:32:54.000Z,1742675574,,https://drive.google.com/file/d/1wC81ab4q25ZBpD3LeT7lu4xWrj66y5Pl,,,
van_02,Unknown,Active,2025-03-20T03:10:40.000Z,1742675980,,https://drive.google.com/file/d/1orREkw7MEonqAFhYLw3_NKKnaifHjPOs,,"There is no damage visible on the parrot. It appears to be clean and in good condition. | There is no damage to the parrot. It appears to be clean and in good condition. | ""There is no damage to the parrot. The parrot appears to be clean and without any scratches",0 |  dents
van_03,Unknown,Active,2025-03-22T20:40:26.000Z,1742676026,,https://drive.google.com/file/d/1SLjzXu4sa_u6rM8IPToYrplb7QnBIivK,,"""",
van_04,Unknown,Active,2025-03-20T19:20:45.000Z,1742498445,,https://drive.google.com/file/d/1D6H8yteMIcq9tu0HNlh10QBbErCQnLo_,,,
van_05,Unknown,Active,2025-03-22T20:42:28.000Z,1742676148,,https://drive.google.com/file/d/1SaAae3szCV-VxwmSFJET51AdDrkqlvhi,,,
van_06,Unknown,Active,2025-03-22T20:43:27.000Z,1742676207,,https://drive.google.com/file/d/1SB7TgAqOcuHxTac5G-L5IJe-FBZLjTsM,,,
van_07,Unknown,Active,2025-03-20T19:39:34.000Z,1742499574,,1_76Y81M0gaQCXV1T001LPMMQeL-_jkCC,,,
van_08,Unknown,Active,2025-03-20T19:23:07.000Z,1742498588,,https://drive.google.com/file/d/1UHGYl_tcMfQ4xS27mLo8F5N8QiphPY07,,,
van_10,Unknown,Active,2025-03-22T20:49:40.000Z,1742676581,,https://drive.google.com/file/d/1WlK31aJUIncxIQSsvMF1ITHFSTbe4jNc,,,
van_11,Unknown,Active,2025-03-20T20:07:34.000Z,1742501255,,https://drive.google.com/file/d/1pLItoLS0hrGlhIU6I-ez_pFyRqfGAONa,,,
van_111,Unknown,Active,2025-03-20T20:24:05.000Z,1742502245,,https://drive.google.com/file/d/1_iW5bK9TzlCzv_yXsf0-CHVvUnBf1j3B,,,
van_1111,Unknown,Active,2025-03-20T20:26:25.000Z,1742502386,,https://drive.google.com/file/d/1N5AlFRVZ_dHtZ5H2jkJbXr9cY7G6cT5-,,,
van_17127,Unknown,Active,2025-03-20T20:13:57.000Z,1742501638,,https://drive.google.com/file/d/1I4PYEUtSh1v10NOO1AENvh0PAikSd6i6,,,
van_21,Unknown,Active,2025-03-22T23:12:23.000Z,1742685144,,https://drive.google.com/file/d/1krNrY_ipI82bL5HscqXhvR_H12oDCoaY,,"""The damage is dirt and debris", and potential dents.
van_212,Unknown,Active,2025-03-20T19:18:50.000Z,1742498331,,https://drive.google.com/file/d/1QHru4qUyDz9oPSvwOQ94eabfZyvOaU6M,,,
van_22,Unknown,Active,2025-03-20T04:16:47.000Z,,,,,,
van_2311,Unknown,Active,2025-03-22T23:25:18.000Z,,,"https://drive.google.com/file/d/1FU3HZ-D6SqOV0iGef_RFaBaRquYWT32U There are also a few **small dents** visible on the lower side panel, located just above the black trim and towards the rear side door. It's hard to definitively say about scratches from this image, but there might be some very fine scratches that are not easily discernible due to the image quality and lighting. There is no **extreme damage** apparent in the picture."",1",,"""The damage observed is primarily **dirt and debris** | ""The damage includes: | ""The damage is **dirt and debris**. It is located all over the **entire van**"," which is visible on the lower side panels and around the wheels of the van. |  and is particularly visible on the **rear window** where it has been written on."""
van_33,Unknown,Active,2025-03-20T20:11:14.000Z,1742501474,,https://drive.google.com/file/d/1mEdolgtNsWRLNCHuPsST97MKdSBtWvXz,,,
van_4242,Unknown,Active,2025-03-20T20:34:58.000Z,1742502899,,https://drive.google.com/file/d/1AczcHjOTiJygS_rPTnkTA68IfegD_LV3,,,
van_4444,blue,active,4/15/2025 0:00:00,2025-04-16,new,,,Dirt,1
van_51,Unknown,Active,2025-03-20T19:46:02.000Z,1742499963,,,,,
van_61,Unknown,Active,2025-03-20T19:41:28.000Z,1742499689,,https://drive.google.com/file/d/1NxYZ0xxSsOpCxUOCsOf6o3jbFpIRB4BI,,,
van_71,Unknown,Active,2025-03-20T19:44:14.000Z,1742499854,,,,,
van_77,Unknown,Active,2025-03-20T20:02:21.000Z,1742500942,,https://drive.google.com/file/d/1keLG5i7A8ZvnAdtfYKwgZn0_WqecjaMA,,,
van_777,Unknown,Active,2025-03-20T20:38:04.000Z,1742503085,,https://drive.google.com/file/d/1a9HLwKFaU0O2CDlt6U7CfT-iOdkNFTXu,,,
van_88,Unknown,Active,2025-03-20T19:33:56.000Z,1742499237,,https://drive.google.com/file/d/1I21QVdTpxrM51HzmgPPf3_5zgid8OXPZ,,,
van_99,Unknown,Active,2025-03-20T19:53:38.000Z,1742500419,,,,,
