van_number,type,status,date,last_updated,notes,url,driver,damage,damage_description
van,Unknown,Active,2025-03-22T23:25:18.000Z,2025-04-16,new,"""https://drive.google.com/file/d/1dx_5GSF2CAX5etGccavg_rDQzM63NL8p Specifically"," there is writing made of dirt or debris on the rear door of the van. The writing appears to say """"""""AMA"""""""" and """"""""I CAN'T SPEED"""""""". The van also appears to be generally dirty overall","What is it and where is it? |  are visibly covered in dirt and debris. *   **Scratches**: There are linear scratches visible on the rear door | There is no damage to the parrot. The parrot is in good condition. | The damage is dirt and debris all over the van and writing in the dirt on the rear door. | 2"" |  especially on the lower panels and wheels. There are no visible scratches",0 | 1 |  dents
van_2,Unknown,Active,2025-03-22T23:21:51.000Z,1742679874,,https://drive.google.com/file/d/1ihwOlLXehI3E3ZECR5g9I3hbZ4hKPXfI, scratches," dents |  back door left side"""" |  doors and lower part."""" |  dents Location: lower left side of the back door"""" | """"3 Rating 3. Damage is dirt and debris and dents on the back left door."""" | There is no damage visible on the parrot. It appears to be clean and in good condition. | There is no damage to the parrot. It appears to be clean and in good condition. | """"""There is no damage to the parrot. The parrot appears to be clean and without any scratches""",0 |  dents
slack,Unknown,Active,2025-03-20T19:12:37.000Z,2025-04-16,,"""https://drive.google.com/file/d/1ZvES6rsqVd7ol7n7LUE3VrTD0lnW2Hke ",,,
van_4444,blue,active,2025-04-15,2025-04-15,new,,,Dirt,1 
van_22,Unknown,Active,2025-03-20T04:16:47.000Z,,,,,,
slack_2,Unknown,Active,2025-03-20T19:12:37.000Z,1742497958,,https://drive.google.com/file/d/1ZvES6rsqVd7ol7n7LUE3VrTD0lnW2Hke,,,
van_212,Unknown,Active,2025-03-20T19:18:50.000Z,1742498331,,https://drive.google.com/file/d/1QHru4qUyDz9oPSvwOQ94eabfZyvOaU6M,,,
van_4,Unknown,Active,2025-03-20T19:20:45.000Z,1742498445,,https://drive.google.com/file/d/1D6H8yteMIcq9tu0HNlh10QBbErCQnLo_,,,
van_8,Unknown,Active,2025-03-22T20:47:33.000Z,1742676453,,https://drive.google.com/file/d/1tRiVUDO9S6BxXMHNjos5HUhuBJDfEQgf,,,
van_88,Unknown,Active,2025-03-20T20:04:39.000Z,1742501079,,https://drive.google.com/file/d/1FN-FY2MNnYpH62aWxWMOEcXywB1whWPk,,,
van_7,Unknown,Active,2025-03-20T19:39:34.000Z,1742499574,,1_76Y81M0gaQCXV1T001LPMMQeL-_jkCC,,,
van_61,Unknown,Active,2025-03-20T19:41:28.000Z,1742499689,,https://drive.google.com/file/d/1NxYZ0xxSsOpCxUOCsOf6o3jbFpIRB4BI,,,
van_71,Unknown,Active,2025-03-20T19:44:14.000Z,1742499854,,,,,
van_51,Unknown,Active,2025-03-20T19:46:02.000Z,1742499963,,,,,
van_99,Unknown,Active,2025-03-20T19:53:38.000Z,1742500419,,,,,
van_77,Unknown,Active,2025-03-20T20:02:21.000Z,1742500942,,https://drive.google.com/file/d/1keLG5i7A8ZvnAdtfYKwgZn0_WqecjaMA,,,
van_11,Unknown,Active,2025-03-22T20:50:27.000Z,1742676628,,https://drive.google.com/file/d/1hWT-UfnZY-Epb8laErnw2W7GVRbNCSYM,,,
van_33,Unknown,Active,2025-03-20T20:11:14.000Z,1742501474,,https://drive.google.com/file/d/1mEdolgtNsWRLNCHuPsST97MKdSBtWvXz,,,
van_17127,Unknown,Active,2025-03-20T20:13:57.000Z,1742501638,,https://drive.google.com/file/d/1iU14bLXyWJsz3xywzMXHJL-bhT08i9Lk,,,
van_111,Unknown,Active,2025-03-20T20:24:05.000Z,1742502245,,https://drive.google.com/file/d/1ukdqAAAto_74KX4tHET1humD7X2DywkT,,,
van_1111,Unknown,Active,2025-03-20T20:26:25.000Z,1742502386,,https://drive.google.com/file/d/1CQrEiMntu8QHSkkMZ_9G-t819PR6MMSR,,,
van_4242,Unknown,Active,2025-03-20T20:34:58.000Z,1742502899,,https://drive.google.com/file/d/1xBK5zy6fNzayvqV8Idb6DbYB0jRlkEDF,,,
van_777,Unknown,Active,2025-03-20T20:38:04.000Z,1742503085,,"""https://drive.google.com/file/d/1CW2DTnrULwDFXwgqQuekyJxtENZzFgyZ ",,,2025-03-22T18:21:56.000Z
van_1,Unknown,Active,2025-03-22T20:32:54.000Z,1742675574,,https://drive.google.com/file/d/1LN5v2tCtJbHjGRnThB1GuaQtfw2bZ44m,,,
van_3,Unknown,Active,2025-03-22T20:40:26.000Z,1742676026,,https://drive.google.com/file/d/1MwlQ1aG2M5iTnS2ai2w1EngNrekKGxTg," debris and some dents on the back bumper and rear of the van. Scratches on the rear passenger panel.""""","""",
van_5,Unknown,Active,2025-03-22T20:42:28.000Z,1742676148,,https://drive.google.com/file/d/1SaAae3szCV-VxwmSFJET51AdDrkqlvhi,,,
van_6,Unknown,Active,2025-03-22T20:43:27.000Z,1742676207,,https://drive.google.com/file/d/1SB7TgAqOcuHxTac5G-L5IJe-FBZLjTsM,,,
van_10,Unknown,Active,2025-03-22T20:49:40.000Z,1742676581,,https://drive.google.com/file/d/1WlK31aJUIncxIQSsvMF1ITHFSTbe4jNc,,,
van_21,Unknown,Active,2025-03-22T23:12:23.000Z,1742685144,,"""1 **Dirt and Debris:** - The entire lower portion of the van", especially the side panels and rear bumper, is covered in dirt and debris. This is evident from the muddy appearance and general grime visible on the white paint. **Potential Dents:** - There are multiple dark, circular spots visible along the lower side panel of the van
van_2311,Unknown,Active,2025-03-22T23:25:18.000Z,,,https://drive.google.com/file/d/1ZHdCec1VOSGztdWE2zjej01d47x1xBYk, but they are difficult to distinguish clearly from the dirt in the image. The damage is located on the **back of the van**," but there might be some very fine scratches that are not easily discernible due to the image quality and lighting. There is no **extreme damage** apparent in the picture."""" |  specifically on the **lower left side of the back door panel**."""" | """"""The damage is **dirt and debris**. It is located all over the **entire van**""","1"" | 3"" | "" and is particularly visible on the **rear window** where it has been written on."""""""
