van_number,type,status,date,last_updated,notes,url,driver,damage,damage_description
van_2,Unknown,Active,2025-03-20T03:05:18.000Z,,,https://drive.google.com/file/d/1xYbjCfoWibs3yiuD-N1H4jxlo6VsXhbS/view?usp=drivesdk,,What is it and where is it?,
van_44,Unknown,Active,2025-03-20T03:05:40.000Z,,,,,,
van_2111,Unknown,Active,2025-03-20T03:07:23.000Z,,,,,,
van_123123,Unknown,Active,2025-03-20T03:08:16.000Z,,,,,,
van_2_1,Unknown,Active,2025-03-20T03:10:40.000Z,,,,,,
van_2_2,Unknown,Active,2025-03-20T03:05:18.000Z,,,,,,
van_4444,blue,active,4/15/2025 0:00:00,2025-04-16,new,,,,0
van_2_3,Unknown,Active,2025-03-20T03:05:18.000Z,,,,,,
van_2_4,Unknown,Active,2025-03-20T03:11:38.000Z,,,,,,
van_2_5,Unknown,Active,2025-03-20T03:10:40.000Z,,,,,,
van_2_6,Unknown,Active,2025-03-20T03:11:38.000Z,,,,,,
van_2_7,Unknown,Active,2025-03-20T03:05:18.000Z,,,,,,
slack_2,Unknown,Active,2025-03-20T19:12:37.000Z,2025-04-16,,"""https://drive.google.com/file/d/1ZvES6rsqVd7ol7n7LUE3VrTD0lnW2Hke ",,,
van_2_8,Unknown,Active,2025-03-20T03:05:18.000Z,,,,,,
van_2_9,Unknown,Active,2025-03-20T03:12:48.000Z,,,,,,
van_2_10,Unknown,Active,2025-03-20T03:10:40.000Z,,,,,,
van_2_11,Unknown,Active,2025-03-20T03:12:48.000Z,,,,,,
van_2_12,Unknown,Active,2025-03-20T03:05:18.000Z,,,,,,
van_2_13,Unknown,Active,2025-03-20T03:12:48.000Z,,,,,,
van_2_14,Unknown,Active,2025-03-20T03:11:38.000Z,,,,,,
van_2_15,Unknown,Active,2025-03-20T03:12:48.000Z,,,,,,
van_4,Unknown,Active,2025-03-20T03:15:45.000Z,,,,,,
van_1,Unknown,Active,2025-03-20T03:18:09.000Z,,,,,,
